,field_category,field_publication,total
124,Local General or Spot News Reporting,The Philadelphia Inquirer,1
125,Local General or Spot News Reporting,The Wall Street Journal,1
126,Local Investigative Specialized Reporting,Chicago Tribune,2
127,Local Investigative Specialized Reporting,New York Daily News,1
128,Local Investigative Specialized Reporting,The Boston Globe,3
129,Local Investigative Specialized Reporting,The New York Times,1
130,Local Investigative Specialized Reporting,The Seattle Times,1
131,Local Investigative Specialized Reporting,The Washington Post,1
132,Local Reporting,The Baltimore Sun,1
133,Local Reporting,The Miami Herald,1
134,Local Reporting,The New York Times,1
135,Local Reporting - No edition time,Chicago Tribune,1
136,Local Reporting - No edition time,The New York Times,1
137,National Reporting,Associated Press,3
138,National Reporting,Chicago Daily News,1
139,National Reporting,Los Angeles Times,3
140,National Reporting,The Boston Globe,2
141,National Reporting,The New York Times,12
142,National Reporting,The Philadelphia Inquirer,4
143,National Reporting,The Seattle Times,3
144,National Reporting,The Wall Street Journal,8
145,National Reporting,The Washington Post,6
146,Photography,Associated Press,7
147,Photography,Los Angeles Times,1
148,Photography,New York Daily News,1
149,Public Service,Associated Press,1
150,Public Service,Chicago Daily News,2
151,Public Service,Los Angeles Times,6
152,Public Service,Newsday,3
153,Public Service,St. Louis Post-Dispatch,4
154,Public Service,The Boston Globe,3
155,Public Service,The Miami Herald,1
156,Public Service,The New York Times,5
157,Public Service,The Philadelphia Inquirer,3
158,Public Service,The Wall Street Journal,1
159,Public Service,The Washington Post,5
160,Reporting,Associated Press,2
161,Reporting,Chicago Daily News,2
162,Reporting,St. Louis Post-Dispatch,2
163,Reporting,The New York Times,4
164,Specialized Reporting,The New York Times,1
165,Specialized Reporting,The Wall Street Journal,1
166,Spot News Photography,Associated Press,10
167,Spot News Photography,The Boston Globe,1
168,Spot News Photography,The Miami Herald,1
169,Spot News Photography,The Seattle Times,1
170,Spot News Photography,The Washington Post,1
171,Spot News Reporting,Los Angeles Times,2
172,Spot News Reporting,Newsday,2
173,Spot News Reporting,The Miami Herald,1
174,Spot News Reporting,The New York Times,2
175,Telegraphic Reporting - International,Associated Press,3
176,Telegraphic Reporting - International,The Baltimore Sun,1
177,Telegraphic Reporting - National,St. Louis Post-Dispatch,1
178,Telegraphic Reporting - National,The Baltimore Sun,1
179,Telegraphic Reporting - National,The New York Times,2
180,Telegraphic Reporting - National,The Washington Post,1
