,field_year,field_category,field_publication,title,field_abbr_citation
61,1984,Local Investigative Specialized Reporting,The Boston Globe,"Kenneth Cooper, Joan Fitz Gerald, Jonathan Kaufman, Norman Lockman, Gary Mc Millan, Kirk Scharfenberg and David Wessel","For their series examining race relations in Boston, a notable exercise in public service that turned a searching gaze on some the city&#039;s most honored institutions including The Globe itself."
62,1983,Local Investigative Specialized Reporting,The Washington Post,Loretta Tofani,"For her investigation of rape and sexual assault in the Prince George&#039;s County, Maryland, Detention Center."
63,1982,Local Investigative Specialized Reporting,The Seattle Times,Paul Henderson,For reporting which proved the innocence of a man convicted of rape.
64,1981,Local Investigative Specialized Reporting,The Arizona Daily Star,Clark Hallas and Robert B. Lowe,For their investigation of the University of Arizona Athletic Department.
65,1980,Local Investigative Specialized Reporting,The Boston Globe,"Stephen A. Kurkjian, Alexander B. Hawes Jr., Nils Bruzelius, Joan Vennochi and Robert M. Porterfield",For articles on Boston&#039;s transit system.
66,1979,Local Investigative Specialized Reporting,Pottsville (PA) Republican,Gilbert M. Gaul and Elliot G. Jaspin,For stories on the destruction of the Blue Coal Company by men with ties to organized crime.
67,1978,Local Investigative Specialized Reporting,The Stamford (CT) Advocate,Anthony R. Dolan,For a series on municipal corruption.
68,1977,Local Investigative Specialized Reporting,the Philadelphia Inquirer,Acel Moore and Wendell Rawls Jr.,For their reports on conditions in the Farview (Pa.) State Hospital for the mentally ill.
69,1976,Local Investigative Specialized Reporting,Chicago Tribune,Staff,For uncovering widespread abuses in Federal housing programs in Chicago and exposing shocking conditions at two private Chicago hospitals.
70,1975,Local Investigative Specialized Reporting,Indianapolis Star,Staff,"For its disclosures of local police corruption and dilatory law enforcement, resulting in a cleanup of both the Police Department and the office of the County Prosecutor."
71,1974,Local Investigative Specialized Reporting,New York Daily News,William Sherman,For his resourceful investigative reporting in the exposure of extreme abuse of the New York Medicaid program.
72,1973,Local Investigative Specialized Reporting,The Sun Newspapers of Omaha,Staff,"For uncovering the large financial resources of Boys Town, Nebraska, leading to reforms in this charitable organization&#039;s solicitation and use of funds contributed by the public."
73,1972,Local Investigative Specialized Reporting,The Boston Globe,"Timothy Leland, Gerard M. O'Neill, Stephen A. Kurkjian and Ann Desantis","For their exposure of widespread corruption in Somerville, Massachusetts."
74,1971,Local Investigative Specialized Reporting,Chicago Tribune,William Jones,"For exposing collusion between police and some of Chicago&#039;s largest private ambulance companies to restrict service in low income areas, leading to major reforms."
75,1970,Local Investigative Specialized Reporting,Montgomery Advertiser and Alabama Journal,Harold Eugene Martin,For his expose of a commercial scheme for using Alabama prisoners for drug experimentation and obtaining blood plasma from them.
76,1969,Local Investigative Specialized Reporting,St. Louis Globe-Democrat,Albert L. Delugach and Denny Walsh,"For their campaign against fraud and abuse of power within the St. Louis Steamfitters Union, Local 562."
77,1968,Local Investigative Specialized Reporting,The New York Times,J. Anthony Lukas,For the social document he wrote in his investigation of the life and the murder of Linda Fitzpatrick.
78,1967,Local Investigative Specialized Reporting,Miami Herald,Gene Miller,Whose initiative and investigative reporting helped to free two persons wrongfully convicted of murder.
79,1966,Local Investigative Specialized Reporting,Tampa (FL) Tribune,John Anthony Frasca,For his investigation and reporting of two robberies that resulted in the freeing of an innocent man.
80,1965,Local Investigative Specialized Reporting,Houston Post,Gene Goltz,"For his expose of government corruption Pasadena, Texas, which resulted in widespread reforms."
81,1964,Local Investigative Specialized Reporting,The Philadelphia Bulletin,"James V. Magee, Albert V. Gaudiosi and Frederick Meyer","For their expose of numbers racket operations with police collusion in South Philadelphia, which resulted in arrests and a cleanup of the police department."
82,1963,Local Reporting - Edition time,New York World-Telegram and Sun,"Sylvan Fox, Anthony Shannon and William Longgood","For their reporting of an air crash in Jamaica Bay, killing 95 persons on March 1, 1962."
83,1962,Local Reporting - Edition time,Deseret News,Robert D. Mulllins,"For his resourceful coverage of a murder and kidnapping at Dead Horse Point, Utah."
84,1961,Local Reporting - Edition time,New York Herald Tribune,Sanche De Gramont (Ted Morgan),For his moving account of the death of Leonard Warren on the Metropolitan Opera stage.
85,1960,Local Reporting - Edition time,The Atlanta (GA) Constitution,Jack Nelson,For the excellent reporting in his series of articles on mental institutions in Georgia.
86,1959,Local Reporting - Edition time,The Evening Star,Mary Lou Werner,"For her comprehensive year-long coverage of the integration crisis in Virginia which demonstrated admirable qualities of accuracy, speed and the ability to interpret the news under deadline pressure in the course of a difficult and taxing assignment. (Werner was identified as &quot;Miss Mary Lou Werner&quot; in the original announcement.)"
87,1958,Local Reporting - Edition time,Fargo (ND) Forum,Staff,"For its swift, vivid and detailed news and picture coverage of a tornado which struck Fargo on June 20. Proceeding under considerable difficulty and overcoming many handicaps, a small but skilled staff put out a complete tornado edition within five hours after the disaster."
88,1957,Local Reporting - Edition time,Salt Lake (UT) Tribune,Staff,"For its prompt and efficient coverage of the crash of two air liners over the Grand Canyon, in which 128 persons were killed. This was a team job that surmounted great difficulties in distance, time and terrain."
89,1956,Local Reporting - Edition time,Detroit Free Press,Lee Hills,"For his aggressive, resourceful and comprehensive front page reporting of the United Automobile Workers&#039; negotiations with Ford and General Motors for a guaranteed annual wage."
90,1955,Local Reporting - Edition time,Alice (TX) Daily Echo,Mrs. Caro Brown,"For a series of news stories dealing with the successful attack on one-man political rule in neighboring Duval County, written under unusual pressure both of edition time and difficult, even dangerous, circumstances. Mrs. Brown dug into the facts behind the dramatic daily events, as well, and obtained her stories in spite of the bitterest political opposition, showing professional skill and courage."
91,1954,Local Reporting - Edition time,Vicksburg (MS) Sunday Post-Herald,Staff,"For its outstanding coverage of the tornado of December 5, 1953, under extraordinary difficulties."
92,1953,Local Reporting - Edition time,Providence (RI) Journal and Evening Bulletin,Editorial Staff,For their spontaneous and cooperative coverage of a bank robbery and police chase leading to the capture of the bandit.
93,1963,Local Reporting - No edition time,Pecos (TX) Independent and Enterprise,"Oscar Griffin, Jr.","Who as editor initiated the exposure of the Billie Sol Estes scandal and thereby brought a major fraud on the United States government to national attention with resultant investigation, prosecution and conviction of Estes."
94,1962,Local Reporting - No edition time,Chicago Tribune,George Bliss,"For his initiative in uncovering scandals in the Metropolitan Sanitary District of Greater Chicago, with resultant remedial action."
95,1961,Local Reporting - No edition time,Buffalo (NY) Evening News,Edgar May,"For his series of articles on New York State&#039;s public welfare services entitled, &quot;Our Costly Dilemma,&quot; based in part on his three-month employment as a State case worker. The series brought about reforms that attracted nation-wide attention."
96,1960,Local Reporting - No edition time,The Evening Star,Miriam Ottenberg,"For a series of seven articles exposing a used-car racket in Washington, D.C., that victimized many unwary buyers. The series led to new regulations to protect the public and served to alert other communities to such sharp practices."
97,1959,Local Reporting - No edition time,Scranton (PA) Tribune and Scrantonian,John Harold Brislin,"For displaying courage, initiative and resourcefulness in his effective four-year campaign to halt labor violence in his home city, as a result of which ten corrupt union officials were sent to jail and a local union was embolden to clean out racketeering elements."
98,1958,Local Reporting - No edition time,The Evening Star,George Beveridge,"For his excellent and thought-provoking series, &quot;Metro, City of Tomorrow,&quot; describing in depth the urban problems of Washington, D.C., which stimulated widespread public consideration of these problems and encouraged further studies by both public and private agencies."
99,1957,Local Reporting - No edition time,Portland Oregonian,Wallace Turner and William Lambert,"For their expose of vice and corruption in Portland involving some municipal officials and officers of the International Brotherhood of Teamsters, Chauffeurs, Warehousemen and Helpers of America, Western Conference. They fulfilled their assignments despite great handicaps and the risk of reprisal from lawless elements."
100,1956,Local Reporting - No edition time,The New York Times,Arthur Daley,"For his outstanding coverage and commentary on the world of sports in his daily column, &quot;Sports of the Times.&quot;"
101,1955,Local Reporting - No edition time,Cuero (TX) Record,Roland Kenneth Towery,"For his series of articles exclusively exposing a scandal in the administration of the Veterans&#039; Land Program in Texas. This 32-year-old World War II veteran, a former prisoner of the Japanese, made these irregularities a state-wide and subsequently a national issue, and stimulated state action to rectify conditions in the land program."
102,1954,Local Reporting - No edition time,Kansas City (MO) Star,Alvin Scott McCoy,For a series of exclusive stories which led to the resignation under fire of C. Wesley Roberts as Republican National Chairman.
103,1953,Local Reporting - No edition time,New York World-Telegram &amp; Sun,Edward J. Mowery,For his reporting of the facts which brought vindication and freedom to Louis Hoffner.
104,1918,Newspaper History Award,,Minna Lewinson and Henry Beetle Hough,For their history of the services rendered to the public by the American Press during the preceding year. (1918 was the only year in which this particular award was given.)
105,1967,Photography,Associated Press,Jack R. Thornell,For his picture of the shooting of James Meredith in Mississippi by a roadside rifleman.
106,1966,Photography,United Press International,Kyoichi Sawada,For his combat photography of the war in Vietnam during 1965.
107,1965,Photography,Associated Press,Horst Faas,For his combat photography of the war in South Viet Nam during 1964.
108,1964,Photography,Dallas Times-Herald,Robert H. Jackson,For his photograph of the murder of Lee Oswald by Jack Ruby.
109,1963,Photography,La Republica,Hector Rondon,For his remarkable picture of a priest holding a wounded soldier in the 1962 Venezuelan insurrection: &quot;Aid From The Padre.&quot; The photograph was distributed by the Associated Press.
110,1962,Photography,Associated Press,Paul Vathis,"For the photograph, &quot;Serious Steps,&quot; published April 22, 1961."
111,1961,Photography,Mainichi,Yasushi Nagao,"For his photograph, &quot;Tokyo Stabbing,&quot; distributed by United Press International and widely printed in American newspapers."
112,1960,Photography,United Press International,Andrew Lopez,"For his series of four photographs of a corporal, formerly of Dictator Batista&#039;s army, who was executed by a Castro firing squad, the principal picture showing the condemned man receiving last rites."
113,1959,Photography,Minneapolis Star,William Seaman,For his dramatic photograph of the sudden death of a child in the street.
114,1958,Photography,Washington (DC) Daily News,William C. Beall,"For his photograph &quot;Faith and Confidence,&quot; showing a policeman patiently reasoning with two-year-old boy trying to cross a street during a parade."
115,1957,Photography,Boston Traveler,Harry A. Trask,"For his dramatic and outstanding photographic sequence of the sinking of the liner Andrea Doria, the pictures being taken from an airplane flying at a height of 75 feet only nine minutes before the ship plunged to the bottom. (The second picture in the sequence is cited as the key photograph.)"
116,1956,Photography,New York Daily News,Staff,"For its consistently excellent news picture coverage in 1955, an outstanding example of which is its photo, &quot;Bomber Crashes in Street.&quot;"
117,1955,Photography,Los Angeles Times,John L. Gaunt,"For a photo that is poignant and profoundly moving, entitled, &quot;Tragedy by the Sea,&quot; showing a young couple standing together beside an angry sea in which only a few minutes earlier their year-old son had perished."
118,1954,Photography,,Virginia M. Schau,"For snapping a thrilling rescue at Redding, Calif., the picture being published in The Akron (OH) Beacon Journal and other newspapers and nationally distributed by the AP. (Schau was identified as &quot;Mrs. Walter M. Schau&quot; in the 1954 announcement.)"
119,1953,Photography,Flint (MI) Journal,William M. Gallagher,For a photo of ex-Governor Adlai E. Stevenson with a hole in his shoe taken during the 1952 Presidential campaign.
120,1952,Photography,Des Moines Register and Tribune,John Robinson and Don Ultang,"For their sequence of 6 pictures of the Drake-Oklahoma A &amp; M football game of October 20, 1951, in which player Johnny Bright&#039;s jaw was broken."
121,1951,Photography,Associated Press,Max Desfor,"For his photographic coverage of the Korean War, an outstanding example of which is, &quot;Flight of Refugees Across Wrecked Bridge in Korea.&quot;"
122,1950,Photography,Oakland (CA) Tribune,Bill Crouch,"For his picture, &quot;Near Collision at Air Show.&quot;"
123,1949,Photography,New York Herald-Tribune,Nathaniel Fein,"For his photo, &quot;Babe Ruth Bows Out.&quot;"
124,1948,Photography,Boston Traveler,Frank Cushing,"For his photo, &quot;Boy Gunman and Hostage.&quot;"
125,1947,Photography,,Arnold Hardy,"For his photo of a woman falling from a burning hotel, distributed by the AP."
126,1945,Photography,Associated Press,Joe Rosenthal,For his photograph of the Marines planting the American flag on Mount Suribachi on Iwo Jima.
127,1944,Photography,The World-Herald,Earle L. Bunker,"For his photo entitled, &quot;Homecoming.&quot;"
128,1944,Photography,Associated Press,Frank Filan,"For his photo entitled, &quot;Tarawa Island,&quot; serviced by the AP."
129,1943,Photography,Associated Press,Frank Noel,"For his photo entitled, &quot;Water!&quot; serviced by the AP."
130,1942,Photography,The Detroit News,Milton Brooks,"For his photo entitled, &quot;Ford Strikers Riot.&quot;"
131,1947,Reporting,New York World-Telegram,Frederick Woltman,For his articles during 1946 on the infiltration of Communism in the U.S.
132,1946,Reporting,The New York Times,William Leonard Laurence,"For his eye-witness account of the atom-bombing of Nagasaki and his subsequent ten articles on the development, production, and significance of the atomic bomb."
133,1945,Reporting,San Francisco Call-Bulletin,Jack S. McDowell,For his campaign to encourage blood donations.
134,1944,Reporting,New York Journal-American,Paul Schoenstein and Associates,"For a news story published on August 12, 1943, which saved the life of a two-year-old girl in the Lutheran Hospital of New York City by obtaining penicillin."
135,1943,Reporting,Chicago Daily News,George Weller,For his graphic story of how a U.S. Navy Pharmacist&#039;s Mate under enemy waters in a submarine performed an operation for appendicitis saving a sailor&#039;s life.
136,1942,Reporting,San Francisco Chronicle,Stanton Delaplane,For his articles on the movement of several California and Oregon counties to secede to form a forty ninth state.
137,1941,Reporting,New York World-Telegram,Westbrook Pegler,"For his articles on scandals in the ranks of organized labor, which led to the exposure and conviction of George Scalise, a labor racketeer."
138,1940,Reporting,New York World-Telegram,S. Burton Heath,"For his expose of the frauds perpetrated by Federal Judge Martin T. Manton, who resigned and was tried and imprisoned."
139,1939,Reporting,Scripps-Howard Newspaper Alliance,Thomas Lunsford Stokes,For his series of articles on alleged intimidation of workers for the Works Progress Administration in Pennsylvania and Kentucky during an election. The articles were published in The New York World-Telegram.
140,1938,Reporting,Pittsburgh Post-Gazette,Raymond Sprigle,"For his series of articles, supported by photostats of the essential documents, exposing the one-time membership of Mr. Justice Hugo L. Black in the Ku Klux Klan."
141,1937,Reporting,"New York Herald Tribune, The New York Times, AP, Universal Service and Scripps-Howard","John J. O'Neill, William L. Laurence, Howard W. Blakeslee, Gobind Behari Lal and David Dietz",For their coverage of science at the tercentenary of Harvard University.
142,1936,Reporting,The New York Times,Lauren D. Lyman,For his exclusive story revealing that the Charles A. Lindbergh family was leaving the United States to live in England.
143,1935,Reporting,New York Herald Tribune,William H. Taylor,For his series of articles on the international yacht races.
144,1934,Reporting,San Francisco Chronicle,Royce Brier,"For his account of the lynching of the kidnappers, John M. Holmes and Thomas H. Thurmond in San Jose, Calif., on Nov. 26, 1933 after they had been jailed for abducting Brooke Hart, a merchant&#039;s son."
145,1933,Reporting,Associated Press,Francis A. Jamieson,"For his prompt, full, skillful and prolonged coverage of news of the kidnapping of the infant son of Charles Lindbergh on March 1, 1932, from the first announcement of the kidnapping until after the discovery of the baby&#039;s body nearby the Lindbergh home on May 12."
146,1932,Reporting,Detroit Free Press,"W.C. Richards, D.D. Martin, J.S. Pooler, F.D. Webb and J.N.W. Sloan",For their account of the parade of the America Legion during the 1931 convention in Detroit.
147,1931,Reporting,Kansas City (MO) Star,A. B. MacDonald,"For his work in connection with a murder in Amarillo, Texas."
148,1930,Reporting,The New York Times,Russell D. Owen,For his reports by radio of the Byrd Antarctic Expedition.
149,1929,Reporting,St. Louis Post-Dispatch,Paul Y. Anderson,For his highly effective work in bringing to light a situation which resulted in revealing the disposition of Liberty Bonds purchased and distributed by the Continental Trading Company in connection with naval oil leases.
150,1927,Reporting,St. Louis Post-Dispatch,John T. Rogers,For the inquiry leading to the impeachment of Judge George W. English of the U.S. Court for the Eastern District of Illinois.
151,1926,Reporting,Louisville Courier-Journal,William Burke Miller,"For his work in connection with the story of the trapping in Sand Cave, Kentucky, of Floyd Collins."
152,1925,Reporting,Chicago Daily News,James W. Mulroy and Alvin H. Goldstein,"For their service toward the solution of the murder of Robert Franks, Jr., in Chicago on May 21, 1924, and the bringing to justice of Nathan F. Leopold and Richard Loeb."
153,1924,Reporting,San Diego Sun,Magner White,For his story of the eclipse of the sun.
154,1923,Reporting,The New York Times,Alva Johnston,"For his reports of the proceedings of the convention of the American Association for the Advancement of Science held in Cambridge Mass., in December, 1922."
155,1922,Reporting,Associated Press,Kirke L. Simpson,For articles on the burial of &quot;The Unknown Soldier.&quot;
156,1921,Reporting,New York World,Louis Seibold,For an interview with President Wilson.
157,1920,Reporting,New York World,John J. Leary,For the series of articles written during the national coal strike in the winter of 1919.
158,1918,Reporting,New York Evening Post,Harold A. Littledale,For series of articles exposing abuses in and leading to the reform of the New Jersey State prison.
159,1917,Reporting,New York World,Herbert Bayard Swope,"For articles which appeared October 10, October 15 and from November 4 daily to November 22, 1916, inclusive, entitled, &quot;Inside the German Empire.&quot;"
160,1990,Specialized Reporting,Albuquerque Journal,Tamar Stieber,"For persistent reporting that linked a rare blood disorder to an over-the-counter dietary supplement, L-Tryptophan, and led to a national recall of the product."
161,1989,Specialized Reporting,Orange County Register,Edward Humes,For his in-depth reporting on the military establishment in Southern California.
162,1988,Specialized Reporting,The Wall Street Journal,Walt Bogdanich,For his chilling series of reports on faulty testing by American medical laboratories.
163,1987,Specialized Reporting,The New York Times,Alex S. Jones,"For &quot;The Fall of the House of Bingham,&quot; a skillful and sensitive report of a powerful newspaper family&#039;s bickering and how it led to the sale of a famed media empire."
164,1986,Specialized Reporting,Pittsburgh Press,Andrew Schneider and Mary Pat Flaherty,For their investigation of violations and failures in the organ transplantation system in the United States.
165,1985,Specialized Reporting,Macon (GA) Telegraph and News,Randall Savage and Jackie Crosby,For their in-depth examination of academics and athletics at the University of Georgia and the Georgia Institute of Technology.
166,1999,Spot News Photography,Associated Press,Photo Staff,For its portfolio of images following the embassy bombings in Kenya and Tanzania that illustrates both the horror and the humanity triggered by the event.
167,1998,Spot News Photography,Pittsburgh Post-Gazette,Martha Rial,For her life-affirming portraits of survivors of the conflicts in Rwanda and Burundi.
168,1997,Spot News Photography,The Press Democrat,Annie Wells,For her dramatic photograph of a local firefighter rescuing a teenager from raging floodwaters.
169,1996,Spot News Photography,,Charles Porter IV,"For his haunting photographs, taken after the Oklahoma City bombing and distributed by the Associated Press, showing a one-year-old victim handed to and then cradled by a local fireman."
170,1995,Spot News Photography,The Washington Post,Carol Guzy,For her series of photographs illustrating the crisis in Haiti and its aftermath.
171,1994,Spot News Photography,The Toronto Star,Paul Watson,"For his photograph, published in many American newspapers, of a U.S. soldier&#039;s body being dragged through the streets of Mogadishu by a mob of jeering Somalis."
172,1993,Spot News Photography,The Dallas Morning News,Ken Geiger and William Snyder,For their dramatic photographs of the 1992 Summer Olympics in Barcelona.
173,1992,Spot News Photography,Associated Press,Staff,For photographs of the attempted coup in Russia and the subsequent collapse of the Communist regime.
174,1991,Spot News Photography,Associated Press,Greg Marinovich,For a series of photographs of supporters of South Africa&#039;s African National Congress brutally murdering a man they believed to be a Zulu spy.
175,1990,Spot News Photography,The Tribune,Photo Staff,"For photographs of devastation caused by the Bay Area earthquake of October 17, 1989."
176,1989,Spot News Photography,,Ron Olshwanger,For a picture published in the St. Louis Post-Dispatch of a firefighter giving mouth-to-mouth resuscitation to a child pulled from a burning building.
177,1988,Spot News Photography,Odessa (TX) American,Scott Shaw,For his photograph of the child Jessica McClure being rescued from the well into which she had fallen.
178,1987,Spot News Photography,San Francisco Examiner,Kim Komenich,For his photographic coverage of the fall of Ferdinand Marcos.
